,stream_flowrate,presssure,temprature,,,component_stream_flowrate,,,vapor_pressure
,,,,64,vinyl chloride,0,64,vinyl chloride,0
,,,,64,chlorine,0,64,chlorine,0
,,,,64,ethylene di-chloride,13.9218,64,ethylene di-chloride,0
,,,,64,water,0,64,water,0
,,,,65,nitrogen,0,65,nitrogen,126.251
,,,,65,oxygen,0,65,oxygen,147.889
,,,,65,ethylene,0,65,ethylene,45.5387
,,,,65,hydrogen chloride,0,65,hydrogen chloride,57.4392
,,,,65,vinyl chloride,0,65,vinyl chloride,8.07627
,,,,65,chlorine,0,65,chlorine,17.3862
,,,,65,ethylene di-chloride,13.9218,65,ethylene di-chloride,3.43137
,,,,65,water,0,65,water,2.64374
,,,,66,nitrogen,0,66,nitrogen,126.251
,,,,66,oxygen,0,66,oxygen,147.889
,,,,66,ethylene,0,66,ethylene,45.5387
,,,,66,hydrogen chloride,17.8341,66,hydrogen chloride,57.4392
,,,,66,vinyl chloride,0,66,vinyl chloride,8.07627
,,,,66,chlorine,0,66,chlorine,17.3862
,,,,66,ethylene di-chloride,0,66,ethylene di-chloride,3.43137
,,,,66,water,0,66,water,2.64374
,,,,67,nitrogen,0,67,nitrogen,0
,,,,67,oxygen,0,67,oxygen,0
,,,,67,ethylene,0,67,ethylene,0
,,,,67,hydrogen chloride,17.8341,67,hydrogen chloride,0
,,,,67,vinyl chloride,0,67,vinyl chloride,0
,,,,67,chlorine,0,67,chlorine,0
,,,,67,ethylene di-chloride,0,67,ethylene di-chloride,0
,,,,67,water,0,67,water,0
,,,,68,nitrogen,0,68,nitrogen,0
,,,,68,oxygen,0,68,oxygen,0
,,,,68,ethylene,0,68,ethylene,0
,,,,68,hydrogen chloride,17.8341,68,hydrogen chloride,0
,,,,68,vinyl chloride,0,68,vinyl chloride,0
,,,,68,chlorine,0,68,chlorine,0
,,,,68,ethylene di-chloride,0,68,ethylene di-chloride,0
,,,,68,water,0,68,water,0
,,,,69,nitrogen,0,69,nitrogen,120.044
,,,,69,oxygen,0,69,oxygen,138.879
,,,,69,ethylene,0,69,ethylene,40.3466
,,,,69,hydrogen chloride,0,69,hydrogen chloride,49.3558
,,,,69,vinyl chloride,0.012401,69,vinyl chloride,6.74069
,,,,69,chlorine,0,69,chlorine,14.4546
,,,,69,ethylene di-chloride,0,69,ethylene di-chloride,2.61265
,,,,69,water,0,69,water,1.79424
,,,,70,nitrogen,0,70,nitrogen,0
,,,,70,oxygen,0,70,oxygen,0
,,,,70,ethylene,0,70,ethylene,0
,,,,70,hydrogen chloride,0,70,hydrogen chloride,0
,,,,70,vinyl chloride,17.8217,70,vinyl chloride,0
,,,,70,chlorine,0,70,chlorine,0
,,,,70,ethylene di-chloride,0,70,ethylene di-chloride,0
,,,,70,water,0,70,water,0
,,,,71,nitrogen,0,71,nitrogen,126.251
,,,,71,oxygen,0,71,oxygen,147.889
,,,,71,ethylene,0,71,ethylene,45.5387
,,,,71,hydrogen chloride,0,71,hydrogen chloride,57.4392
,,,,71,vinyl chloride,0,71,vinyl chloride,8.07627
,,,,71,chlorine,0,71,chlorine,17.3862
,,,,71,ethylene di-chloride,0,71,ethylene di-chloride,3.43137
,,,,71,water,0,71,water,2.64374
